iter	Passed	Remaining
0	4	959
1	9	913
2	13	885
3	19	933
4	24	942
5	28	930
6	32	909
7	37	908
8	42	895
9	50	968
10	66	1134
11	76	1196
12	83	1199
13	91	1216
14	99	1232
15	105	1217
16	111	1195
17	117	1188
18	123	1178
19	128	1152
20	132	1132
21	138	1120
22	143	1107
23	181	1334
24	187	1309
25	191	1280
26	197	1263
27	203	1253
28	209	1236
29	213	1211
30	218	1192
31	224	1176
32	227	1152
33	233	1139
34	237	1121
35	242	1105
36	246	1086
37	252	1075
38	256	1058
39	259	1039
40	265	1027
41	269	1013
42	273	997
43	277	984
44	282	973
45	286	959
46	291	947
47	295	936
48	299	923
49	303	911
50	307	899
51	313	892
52	317	881
53	322	871
54	329	868
55	333	858
56	338	848
57	345	845
58	351	838
59	356	830
60	361	823
61	366	816
62	372	810
63	378	805
64	384	798
65	389	790
66	393	780
67	397	771
68	401	762
69	406	754
70	411	747
71	415	738
72	420	731
73	425	724
74	429	715
75	438	714
76	451	721
77	472	739
78	478	732
79	483	724
80	487	715
81	490	706
82	494	697
83	499	690
84	504	682
85	507	673
86	512	665
87	518	659
88	522	651
89	526	643
90	531	636
91	535	628
92	539	620
93	550	620
94	554	613
95	560	607
96	565	600
97	570	594
98	578	589
99	583	583
100	588	576
101	592	569
102	596	561
103	600	554
104	604	546
105	608	539
106	612	532
107	616	524
108	619	517
109	623	509
110	626	502
111	632	496
112	635	489
113	639	482
114	642	475
115	647	469
116	651	462
117	656	456
118	661	450
119	666	444
120	671	438
121	677	433
122	681	426
123	685	420
124	690	414
125	694	408
126	699	401
127	703	395
128	708	390
129	712	383
130	716	377
131	722	372
132	726	365
133	730	359
134	735	353
135	740	348
136	744	342
137	749	336
138	754	331
139	757	324
140	761	318
141	766	312
142	770	307
143	774	301
144	778	295
145	782	289
146	787	283
147	791	278
148	795	272
149	800	266
150	805	261
151	809	255
152	813	249
153	817	244
154	821	238
155	826	233
156	831	227
157	836	222
158	841	216
159	845	211
160	851	206
161	857	201
162	863	195
163	868	190
164	872	185
165	877	179
166	882	174
167	887	169
168	891	163
169	895	158
170	900	152
171	906	147
172	911	142
173	916	136
174	920	131
175	925	126
176	929	120
177	933	115
178	937	110
179	942	104
180	947	99
181	952	94
182	956	88
183	961	83
184	964	78
185	968	72
186	972	67
187	975	62
188	978	56
189	982	51
190	987	46
191	992	41
192	997	36
193	1001	30
194	1006	25
195	1009	20
196	1013	15
197	1017	10
198	1021	5
199	1024	0
